plate,model,type
SNJ4F95,PADRÃO,Caminhão
SNI5E89,PADRÃO,Caminhão
SMW4B56,PADRÃO,Caminhão
SMW4B48,PADRÃO,Caminhão
ROP6G92,PADRÃO,Caminhão
SMT7B29,PADRÃO,Caminhão
SMN7B33,PADRÃO,Caminhão
SMN7B35,PADRÃO,Caminhão
SMN7B22,PADRÃO,Caminhão
SNJ9G31,PADRÃO,Caminhão
SNJ9G35,PADRÃO,Caminhão
SNJ9G38,PADRÃO,Caminhão
ROW3A29,PADRÃO,Caminhão
SMO1T73,PADRÃO,Caminhão
ROW8A58,PADRÃO,Caminhão
ROY5J60,PADRÃO,Caminhão
PTY0B49,PADRÃO,Caminhão
PTT0E62,PADRÃO,Caminhão
PTT0E23,PADRÃO,Caminhão
ROF0B51,PADRÃO,Caminhão
ROF0B59,PADRÃO,Caminhão
ROS6A95,PADRÃO,Caminhão
PRX4A87,PADRÃO,Caminhão
OXT9598,PADRÃO,Caminhão
OXR8A27,PADRÃO,Caminhão
OXR8A85,PADRÃO,Caminhão
NWX1657,PADRÃO,Caminhão
OJI3145,PADRÃO,Caminhão
MRH6A8,PADRÃO,Caminhão
MWV6J86,PADRÃO,Caminhão
NXI3883,PADRÃO,Caminhão
OXO6883,PADRÃO,Caminhão
NWW4199,PADRÃO,Caminhão
ROJ0J44,PADRÃO,Caminhão
ROY5G76,PADRÃO,Caminhão
ROV6J52,PADRÃO,Caminhão
RIL2G94,PADRÃO,Caminhão
SMM9A42,PADRÃO,Caminhão
ROY0J96,PADRÃO,Caminhão
ROV7B66,PADRÃO,Caminhão
ROV7B70,PADRÃO,Caminhão
ROV7B60,PADRÃO,Caminhão
SNG2F98,PADRÃO,Caminhão
PTO9B92,PADRÃO,Caminhão
PSR6A15,PADRÃO,Caminhão
SMR3A89,PADRÃO,Caminhão
RUN2J54,PADRÃO,Caminhão
RON0J58,PADRÃO,Caminhão
PSX8E66,PADRÃO,Caminhão
ROJ0D56,PADRÃO,Caminhão
SNA5A59,PADRÃO,Caminhão
OXV9304,PADRÃO,Caminhão
